id,year,date,winner,result,win_by_runs,win_by_wickets,player_of_match,team1,team2,toss_winner,toss_decision,umpire1,umpire2,venue
158,2017,2017-07-12,England,normal,75,,NR Sciver,England,New Zealand,England,bat,Ahsan Raza,JM Williams,County Ground
187,2019,2019-01-27,Pakistan,normal,,8,Usman Shinwari,South Africa,Pakistan,Pakistan,field,BP Jele,PR Reiffel,The Wanderers Stadium
188,2019,2019-01-30,South Africa,normal,,7,Q de Kock,South Africa,Pakistan,South Africa,field,AT Holdstock,GO Brathwaite,Newlands
189,2019,2019-03-03,South Africa,normal,,8,F du Plessis,South Africa,Sri Lanka,South Africa,field,RA Kettleborough,BP Jele,The Wanderers Stadium
190,2019,2019-03-06,South Africa,normal,113,,Q de Kock,South Africa,Sri Lanka,Sri Lanka,field,Aleem Dar,S George,SuperSport Park
192,2019,2019-03-13,South Africa,normal,,6,I Udana,South Africa,Sri Lanka,South Africa,field,Aleem Dar,S George,St George's Park
193,2019,2019-03-16,South Africa,normal,41,,AK Markram,South Africa,Sri Lanka,Sri Lanka,bat,RA Kettleborough,S George,Newlands
194,2019,2019-05-30,England,normal,104,,BA Stokes,England,South Africa,South Africa,field,BNJ Oxenford,HDPK Dharmasena,Kennington Oval
195,2019,2019-05-31,West Indies,normal,,7,O Thomas,Pakistan,West Indies,West Indies,field,CB Gaffaney,M Erasmus,Trent Bridge
196,2019,2019-06-01,New Zealand,normal,,10,MJ Henry,New Zealand,Sri Lanka,New Zealand,field,RJ Tucker,IJ Gould,Sophia Gardens
191,2019,2019-03-10,South Africa,normal,71,,Q de Kock,South Africa,Sri Lanka,Sri Lanka,field,RA Kettleborough,AT Holdstock,Kingsmead
198,2019,2019-06-02,Bangladesh,normal,21,,Shakib Al Hasan,Bangladesh,South Africa,South Africa,field,JS Wilson,PR Reiffel,Kennington Oval
199,2019,2019-06-03,Pakistan,normal,14,,Mohammad Hafeez,England,Pakistan,England,field,M Erasmus,S Ravi,Trent Bridge
200,2019,2019-06-04,Sri Lanka,normal,34,,N Pradeep,Afghanistan,Sri Lanka,Afghanistan,field,P Wilson,NJ Llong,Sophia Gardens
201,2019,2019-06-05,India,normal,,6,RG Sharma,India,South Africa,South Africa,bat,RA Kettleborough,MA Gough,The Rose Bowl
202,2019,2019-06-05,New Zealand,normal,,2,LRPL Taylor,Bangladesh,New Zealand,New Zealand,field,BNJ Oxenford,PR Reiffel,Kennington Oval
203,2019,2019-06-06,Australia,normal,15,,NM Coulter-Nile,Australia,West Indies,West Indies,field,CB Gaffaney,RSA Palliyaguruge,Trent Bridge
204,2019,2019-06-08,England,normal,106,,JJ Roy,England,Bangladesh,Bangladesh,field,JS Wilson,HDPK Dharmasena,Sophia Gardens
205,2019,2019-06-08,New Zealand,normal,,7,JDS Neesham,Afghanistan,New Zealand,New Zealand,field,MA Gough,Aleem Dar,The Cooper Associates County Ground
206,2019,2019-06-09,India,normal,36,,S Dhawan,Australia,India,India,bat,IJ Gould,CB Gaffaney,Kennington Oval
207,2019,2019-06-10,NA,no result,,,NA,South Africa,West Indies,West Indies,field,P Wilson,RJ Tucker,The Rose Bowl
208,2019,2019-06-12,Australia,normal,41,,DA Warner,Australia,Pakistan,Pakistan,field,NJ Llong,RSA Palliyaguruge,The Cooper Associates County Ground
209,2019,2019-06-14,England,normal,,8,JE Root,England,West Indies,England,field,HDPK Dharmasena,S Ravi,The Rose Bowl
210,2019,2019-06-15,Australia,normal,87,,AJ Finch,Australia,Sri Lanka,Sri Lanka,field,Aleem Dar,RK Illingworth,Kennington Oval
211,2019,2019-06-15,South Africa,normal,,9,Imran Tahir,Afghanistan,South Africa,South Africa,field,CB Gaffaney,RSA Palliyaguruge,Sophia Gardens
212,2019,2019-06-16,India,normal,89,,RG Sharma,India,Pakistan,Pakistan,field,BNJ Oxenford,M Erasmus,Old Trafford
213,2019,2019-06-17,Bangladesh,normal,,7,Shakib Al Hasan,Bangladesh,West Indies,Bangladesh,field,RJ Tucker,S Ravi,The Cooper Associates County Ground
214,2019,2019-06-18,England,normal,150,,EJG Morgan,England,Afghanistan,England,bat,JS Wilson,PR Reiffel,Old Trafford
215,2019,2019-06-19,New Zealand,normal,,4,KS Williamson,New Zealand,South Africa,New Zealand,field,IJ Gould,NJ Llong,Edgbaston
216,2019,2019-06-20,Australia,normal,48,,DA Warner,Australia,Bangladesh,Australia,bat,RA Kettleborough,MA Gough,Trent Bridge
217,2019,2019-06-21,Sri Lanka,normal,20,,SL Malinga,England,Sri Lanka,Sri Lanka,bat,P Wilson,M Erasmus,Headingley
218,2019,2019-06-22,India,normal,11,,JJ Bumrah,Afghanistan,India,India,bat,Aleem Dar,RK Illingworth,The Rose Bowl
219,2019,2019-06-22,New Zealand,normal,5,,KS Williamson,New Zealand,West Indies,West Indies,field,IJ Gould,RSA Palliyaguruge,Old Trafford
220,2019,2019-06-23,Pakistan,normal,49,,Haris Sohail,Pakistan,South Africa,Pakistan,bat,JS Wilson,HDPK Dharmasena,Lord's
221,2019,2019-06-24,Bangladesh,normal,62,,Shakib Al Hasan,Afghanistan,Bangladesh,Afghanistan,field,RA Kettleborough,MA Gough,The Rose Bowl
222,2019,2019-06-25,Australia,normal,64,,AJ Finch,England,Australia,England,field,CB Gaffaney,S Ravi,Lord's
223,2019,2019-06-26,Pakistan,normal,,6,Babar Azam,New Zealand,Pakistan,New Zealand,bat,BNJ Oxenford,PR Reiffel,Edgbaston
224,2019,2019-06-27,India,normal,125,,V Kohli,India,West Indies,India,bat,RA Kettleborough,RK Illingworth,Old Trafford
225,2019,2019-06-28,South Africa,normal,,9,D Pretorius,South Africa,Sri Lanka,South Africa,field,RJ Tucker,S Ravi,Riverside Ground
226,2019,2019-06-29,Pakistan,normal,,3,Imad Wasim,Afghanistan,Pakistan,Afghanistan,bat,P Wilson,NJ Llong,Headingley
227,2019,2019-06-29,Australia,normal,86,,AT Carey,Australia,New Zealand,Australia,bat,JS Wilson,RK Illingworth,Lord's
228,2019,2019-06-30,England,normal,31,,JM Bairstow,England,India,England,bat,Aleem Dar,HDPK Dharmasena,Edgbaston
229,2019,2019-07-01,Sri Lanka,normal,23,,WIA Fernando,Sri Lanka,West Indies,West Indies,field,BNJ Oxenford,PR Reiffel,Riverside Ground
230,2019,2019-07-02,India,normal,28,,RG Sharma,Bangladesh,India,India,bat,M Erasmus,RSA Palliyaguruge,Edgbaston
231,2019,2019-07-03,England,normal,119,,JM Bairstow,England,New Zealand,England,bat,RJ Tucker,S Ravi,Riverside Ground
232,2019,2019-07-04,West Indies,normal,23,,SD Hope,Afghanistan,West Indies,West Indies,bat,CB Gaffaney,NJ Llong,Headingley
233,2019,2019-07-05,Pakistan,normal,94,,Shaheen Shah Afridi,Bangladesh,Pakistan,Pakistan,bat,RA Kettleborough,MA Gough,Lord's
234,2019,2019-07-06,India,normal,,7,RG Sharma,India,Sri Lanka,Sri Lanka,bat,P Wilson,IJ Gould,Headingley
235,2019,2019-07-06,South Africa,normal,10,,F du Plessis,Australia,South Africa,South Africa,bat,Aleem Dar,HDPK Dharmasena,Old Trafford
236,2019,2019-07-09,New Zealand,normal,18,,MJ Henry,India,New Zealand,New Zealand,bat,RA Kettleborough,RK Illingworth,Old Trafford
237,2019,2019-07-11,England,normal,,8,CR Woakes,Australia,England,Australia,bat,HDPK Dharmasena,M Erasmus,Edgbaston
238,2019,2019-07-14,NA,tie,,,BA Stokes,England,New Zealand,New Zealand,bat,HDPK Dharmasena,M Erasmus,Lord's
239,2019,2019-02-22,Australia,normal,5,,JL Jonassen,Australia,New Zealand,New Zealand,field,PJ Gillespie,CA Polosak,W.A.C.A. Ground
240,2019,2019-02-24,Australia,normal,95,,EA Perry,Australia,New Zealand,New Zealand,field,PJ Gillespie,SAJ Craig,Karen Rolton Oval
241,2019,2019-03-03,Australia,normal,,7,A Gardner,Australia,New Zealand,New Zealand,bat,CA Polosak,SAJ Craig,Junction Oval
242,2019,2019-01-12,Australia,normal,34,,JA Richardson,Australia,India,Australia,bat,P Wilson,MA Gough,Sydney Cricket Ground
243,2019,2019-01-15,India,normal,,6,V Kohli,Australia,India,Australia,bat,RA Kettleborough,SJ Nogajski,Adelaide Oval
244,2019,2019-01-18,India,normal,,7,YS Chahal,Australia,India,India,field,P Wilson,MA Gough,Melbourne Cricket Ground
245,2019,2019-05-08,NA,no result,,,NA,England,Pakistan,England,field,RJ Bailey,PR Reiffel,Kennington Oval
246,2019,2019-05-11,England,normal,12,,JC Buttler,England,Pakistan,Pakistan,field,RT Robinson,CB Gaffaney,The Rose Bowl
247,2019,2019-05-14,England,normal,,6,JM Bairstow,England,Pakistan,England,field,MA Gough,PR Reiffel,County Ground
248,2019,2019-05-17,England,normal,,3,JJ Roy,England,Pakistan,England,field,CB Gaffaney,AG Wharf,Trent Bridge
249,2019,2019-05-19,England,normal,54,,CR Woakes,England,Pakistan,England,bat,MA Gough,PR Reiffel,Headingley
250,2019,2019-01-23,India,normal,,8,Mohammed Shami,New Zealand,India,New Zealand,bat,SB Haig,S George,McLean Park
251,2019,2019-01-26,India,normal,90,,RG Sharma,New Zealand,India,India,bat,CM Brown,NJ Llong,Bay Oval
252,2019,2019-01-28,India,normal,,7,Mohammed Shami,New Zealand,India,New Zealand,bat,S George,WR Knights,Bay Oval
253,2019,2019-01-31,New Zealand,normal,,8,TA Boult,New Zealand,India,New Zealand,field,CM Brown,NJ Llong,Seddon Park
254,2019,2019-02-03,India,normal,35,,AT Rayudu,New Zealand,India,India,bat,S George,WR Knights,Westpac Stadium
255,2019,2019-01-03,New Zealand,normal,45,,MJ Guptill,New Zealand,Sri Lanka,New Zealand,bat,CM Brown,P Wilson,Bay Oval
256,2019,2019-01-05,New Zealand,normal,21,,NLTC Perera,New Zealand,Sri Lanka,New Zealand,bat,SB Haig,RK Illingworth,Bay Oval
257,2019,2019-01-08,New Zealand,normal,115,,LRPL Taylor,New Zealand,Sri Lanka,Sri Lanka,field,P Wilson,WR Knights,Saxton Oval
161,2017,2017-07-15,India,normal,186,,M Raj,India,New Zealand,New Zealand,field,S George,CA Polosak,County Ground
259,2019,2019-02-16,New Zealand,normal,,8,MJ Guptill,New Zealand,Bangladesh,New Zealand,field,SB Haig,M Erasmus,Hagley Oval
260,2019,2019-02-20,New Zealand,normal,88,,TG Southee,New Zealand,Bangladesh,Bangladesh,field,WR Knights,S Ravi,University Oval
261,2019,2019-01-24,India,normal,,9,S Mandhana,New Zealand,India,India,field,BF Bowden,AL Gillies,McLean Park
262,2019,2019-01-29,India,normal,,8,S Mandhana,New Zealand,India,India,field,BF Bowden,Kim Cotton,Bay Oval
263,2019,2019-02-01,New Zealand,normal,,8,AM Peterson,New Zealand,India,New Zealand,field,Kim Cotton,A Mehrotra,Seddon Park
264,2019,2019-02-20,England,normal,,6,JJ Roy,West Indies,England,West Indies,bat,P Wilson,LS Reifer,"Kensington Oval, Barbados"
265,2019,2019-02-22,West Indies,normal,26,,SO Hetmyer,West Indies,England,England,field,BNJ Oxenford,GO Brathwaite,"Kensington Oval, Barbados"
266,2019,2019-02-27,England,normal,29,,JC Buttler,West Indies,England,West Indies,field,BNJ Oxenford,GO Brathwaite,"National Cricket Stadium, Grenada"
267,2019,2019-03-02,West Indies,normal,,7,O Thomas,West Indies,England,West Indies,field,N Duguid,P Wilson,"Darren Sammy National Cricket Stadium, St Lucia"
268,2019,2019-05-03,England,normal,,4,BT Foakes,Ireland,England,England,field,HDPK Dharmasena,PA Reynolds,"The Village, Malahide"
269,2019,2019-06-06,England,normal,208,,AE Jones,England,West Indies,England,bat,GD Lloyd,AG Wharf,Grace Road
270,2019,2019-06-09,England,normal,121,,A Shrubsole,England,West Indies,England,bat,S Redfern,DJ Millns,"County Ground, New Road"
271,2019,2019-06-13,England,normal,135,,AE Jones,England,West Indies,West Indies,field,DJ Millns,S Redfern,County Ground
272,2019,2019-07-02,Australia,normal,,2,EA Perry,England,Australia,Australia,field,RT Robinson,MJ Saggers,Grace Road
273,2019,2019-07-04,Australia,normal,,4,DM Kimmince,England,Australia,England,bat,GD Lloyd,RT Robinson,Grace Road
274,2019,2019-07-07,Australia,normal,194,,EA Perry,England,Australia,England,field,GD Lloyd,MJ Saggers,St Lawrence Ground
275,2019,2019-02-28,Afghanistan,normal,,5,Gulbadin Naib,Afghanistan,Ireland,Ireland,bat,Ahmed Shah Pakteen,S Ravi,"Rajiv Gandhi International Cricket Stadium, Dehradun"
276,2019,2019-03-02,NA,no result,,,NA,Afghanistan,Ireland,Afghanistan,bat,Bismillah Shinwari,S Ravi,"Rajiv Gandhi International Cricket Stadium, Dehradun"
277,2019,2019-03-05,Ireland,normal,,4,A Balbirnie,Afghanistan,Ireland,Afghanistan,bat,Izatullah Safi,S Ravi,"Rajiv Gandhi International Cricket Stadium, Dehradun"
278,2019,2019-03-08,Afghanistan,normal,109,,Rashid Khan,Afghanistan,Ireland,Ireland,field,Ahmed Shah Pakteen,S Ravi,"Rajiv Gandhi International Cricket Stadium, Dehradun"
279,2019,2019-03-10,Ireland,normal,,5,Asghar Stanikzai,Afghanistan,Ireland,Ireland,field,Bismillah Shinwari,S Ravi,"Rajiv Gandhi International Cricket Stadium, Dehradun"
280,2019,2019-02-11,South Africa,normal,7,,D van Niekerk,South Africa,Sri Lanka,Sri Lanka,field,Stephen Harris,BM White,Senwes Park
281,2019,2019-02-14,South Africa,normal,30,,M Kapp,South Africa,Sri Lanka,Sri Lanka,field,LB Gcuma,BM White,Senwes Park
282,2019,2019-02-17,South Africa,normal,,6,M du Preez,South Africa,Sri Lanka,Sri Lanka,bat,LB Gcuma,Stephen Harris,Senwes Park
283,2019,2019-03-02,India,normal,,6,KM Jadhav,India,Australia,Australia,bat,JS Wilson,Nitin Menon,"Rajiv Gandhi International Stadium, Uppal"
284,2019,2019-03-05,India,normal,8,,V Kohli,India,Australia,Australia,field,HDPK Dharmasena,Nitin Menon,"Vidarbha Cricket Association Stadium, Jamtha"
285,2019,2019-03-08,Australia,normal,32,,UT Khawaja,India,Australia,India,field,C Shamshuddin,JS Wilson,JSCA International Stadium Complex
286,2019,2019-03-10,Australia,normal,,4,AJ Turner,India,Australia,India,bat,HDPK Dharmasena,AK Chaudhary,"Punjab Cricket Association IS Bindra Stadium, Mohali"
287,2019,2019-03-13,Australia,normal,35,,UT Khawaja,India,Australia,Australia,bat,JS Wilson,CK Nandan,Arun Jaitley Stadium
288,2019,2019-05-05,West Indies,normal,196,,JD Campbell,Ireland,West Indies,Ireland,field,Aleem Dar,AJ Neill,Castle Avenue
289,2019,2019-05-07,Bangladesh,normal,,8,SD Hope,Bangladesh,West Indies,West Indies,bat,Aleem Dar,M Hawthorne,Castle Avenue
290,2019,2019-05-11,West Indies,normal,,5,SW Ambris,Ireland,West Indies,Ireland,bat,RA Kettleborough,R Black,"The Village, Malahide"
291,2019,2019-05-13,Bangladesh,normal,,5,Mustafizur Rahman,Bangladesh,West Indies,West Indies,bat,RA Kettleborough,AJ Neill,"The Village, Malahide"
292,2019,2019-05-15,Bangladesh,normal,,6,Abu Jayed,Ireland,Bangladesh,Ireland,bat,RA Kettleborough,R Black,Castle Avenue
293,2019,2019-05-17,Bangladesh,normal,,5,Mosaddek Hossain,Bangladesh,West Indies,Bangladesh,field,RA Kettleborough,PA Reynolds,"The Village, Malahide"
294,2019,2019-05-19,Ireland,normal,72,,NA,Ireland,Afghanistan,Afghanistan,field,AJ Neill,S George,"Civil Service Cricket Club, Stormont"
295,2019,2019-05-21,Afghanistan,normal,126,,NA,Ireland,Afghanistan,Ireland,field,M Hawthorne,S George,"Civil Service Cricket Club, Stormont"
296,2019,2019-07-01,Ireland,normal,,4,NA,Ireland,Zimbabwe,Ireland,field,M Hawthorne,S George,"Bready Cricket Club, Magheramason"
297,2019,2019-07-04,Ireland,normal,5,,NA,Ireland,Zimbabwe,Zimbabwe,field,R Black,S George,"Civil Service Cricket Club, Stormont"
298,2019,2019-07-07,Ireland,normal,,6,NA,Ireland,Zimbabwe,Zimbabwe,bat,R Black,S George,"Civil Service Cricket Club, Stormont"
299,2019,2019-05-10,Afghanistan,normal,2,,Rahmat Shah,Scotland,Afghanistan,Scotland,bat,HDPK Dharmasena,AJT Dowdalls,"Grange Cricket Club, Raeburn Place"
300,2019,2019-05-21,Sri Lanka,normal,35,,N Pradeep,Scotland,Sri Lanka,Scotland,field,DH Mclean,GO Brathwaite,"Grange Cricket Club, Raeburn Place"
301,2019,2019-01-25,United Arab Emirates,normal,,3,Amir Hayat,United Arab Emirates,Nepal,United Arab Emirates,field,Akbar Ali,Nitin Menon,ICC Academy
302,2019,2019-01-26,Nepal,normal,145,,Sompal Kami,United Arab Emirates,Nepal,Nepal,bat,Iftikhar Ali,Nitin Menon,ICC Academy
303,2019,2019-01-28,Nepal,normal,,4,P Khadka,United Arab Emirates,Nepal,Nepal,field,Iftikhar Ali,Nitin Menon,ICC Academy
304,2019,2019-02-22,India,normal,66,,E Bisht,India,England,England,field,KN Ananthapadmanabhan,P Jayapal,Wankhede Stadium
305,2019,2019-02-25,India,normal,,7,J Goswami,India,England,England,bat,KN Ananthapadmanabhan,P Jayapal,Wankhede Stadium
306,2019,2019-02-28,England,normal,,2,KH Brunt,India,England,India,bat,KN Ananthapadmanabhan,P Jayapal,Wankhede Stadium
307,2019,2019-02-07,West Indies,normal,146,,DJS Dottin,Pakistan,West Indies,West Indies,bat,Rashid Riaz,Asif Yaqoob,Dubai International Cricket Stadium
308,2019,2019-02-09,Pakistan,normal,34,,Sidra Ameen,Pakistan,West Indies,Pakistan,bat,Asif Yaqoob,Rashid Riaz,ICC Academy
309,2019,2019-03-22,Australia,normal,,8,AJ Finch,Australia,Pakistan,Pakistan,bat,MA Gough,Ahsan Raza,Sharjah Cricket Stadium
310,2019,2019-03-24,Australia,normal,,8,AJ Finch,Australia,Pakistan,Pakistan,bat,Shozab Raza,HDPK Dharmasena,Sharjah Cricket Stadium
311,2019,2019-03-27,Australia,normal,80,,PJ Cummins,Australia,Pakistan,Australia,bat,Asif Yaqoob,MA Gough,Sheikh Zayed Stadium
312,2019,2019-03-29,Australia,normal,6,,GJ Maxwell,Australia,Pakistan,Pakistan,field,HDPK Dharmasena,Rashid Riaz,Dubai International Cricket Stadium
313,2019,2019-03-31,Australia,normal,20,,GJ Maxwell,Australia,Pakistan,Pakistan,field,MA Gough,Ahsan Raza,Dubai International Cricket Stadium
314,2019,2019-04-27,Papua New Guinea,normal,,5,N Vanua,Papua New Guinea,United States of America,Papua New Guinea,field,HKG Jansen,C Thorburn,Affies Park
315,2019,2019-04-27,Namibia,normal,145,,JN Frylinck,Namibia,Oman,Namibia,bat,CA Polosak,D Odhiambo,Wanderers Cricket Ground
316,2019,2019-03-16,England,normal,154,,NA,Sri Lanka,England,Sri Lanka,field,ID Gunawardene,LE Hannibal,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
317,2019,2019-03-18,England,normal,,6,NA,Sri Lanka,England,Sri Lanka,bat,LE Hannibal,RMPJ Rambukwella,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
318,2019,2019-03-21,England,normal,,8,NA,Sri Lanka,England,Sri Lanka,bat,PN Udawatta,RMPJ Rambukwella,FTZ Sports Complex (BOI)
319,2019,2019-05-06,Pakistan,normal,,8,Sana Mir,South Africa,Pakistan,Pakistan,field,A Paleker,BP Jele,Senwes Park
320,2019,2019-05-09,South Africa,normal,,8,M Klaas,South Africa,Pakistan,South Africa,field,A Jacobs,BP Jele,Senwes Park
321,2019,2019-05-12,NA,tie,,,Aliya Riaz,South Africa,Pakistan,Pakistan,field,A Jacobs,A Paleker,Willowmoore Park
322,2019,2019-04-10,Zimbabwe,normal,,7,TL Chatara,Zimbabwe,United Arab Emirates,Zimbabwe,field,L Rusere,S George,Harare Sports Club
323,2019,2019-04-12,Zimbabwe,normal,4,,PJ Moor,Zimbabwe,United Arab Emirates,Zimbabwe,field,I Chabi,S George,Harare Sports Club
324,2019,2019-04-16,Zimbabwe,normal,,3,KM Jarvis,Zimbabwe,United Arab Emirates,United Arab Emirates,bat,L Rusere,S George,Harare Sports Club
325,2019,2019-10-05,Australia,normal,157,,MM Lanning,Australia,Sri Lanka,Australia,bat,PJ Gillespie,SAJ Craig,Allan Border Field
326,2019,2019-10-07,Australia,normal,110,,RL Haynes,Australia,Sri Lanka,Australia,bat,PJ Gillespie,CA Polosak,Allan Border Field
327,2019,2019-10-09,Australia,normal,,9,AJ Healy,Australia,Sri Lanka,Sri Lanka,bat,CA Polosak,SAJ Craig,Allan Border Field
328,2020,2020-03-13,Australia,normal,71,,MR Marsh,Australia,New Zealand,Australia,bat,P Wilson,M Erasmus,Sydney Cricket Ground
329,2020,2020-02-04,South Africa,normal,,7,Q de Kock,South Africa,England,South Africa,field,S George,GO Brathwaite,Newlands
330,2020,2020-02-07,NA,no result,,,NA,South Africa,England,England,field,A Paleker,Aleem Dar,Kingsmead
331,2020,2020-02-09,England,normal,,2,AU Rashid,South Africa,England,England,field,S George,GO Brathwaite,The Wanderers Stadium
332,2020,2020-02-29,South Africa,normal,74,,H Klaasen,South Africa,Australia,South Africa,bat,AT Holdstock,NJ Llong,Boland Park
333,2020,2020-03-04,South Africa,normal,,6,L Ngidi,South Africa,Australia,Australia,bat,BP Jele,RK Illingworth,Mangaung Oval
334,2020,2020-03-07,South Africa,normal,,6,JT Smuts,South Africa,Australia,South Africa,field,RK Illingworth,AT Holdstock,Senwes Park
335,2019,2019-12-15,West Indies,normal,,8,SO Hetmyer,India,West Indies,West Indies,field,Nitin Menon,S George,"MA Chidambaram Stadium, Chepauk"
336,2019,2019-12-18,India,normal,107,,RG Sharma,India,West Indies,West Indies,field,RJ Tucker,AK Chaudhary,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
337,2019,2019-12-22,India,normal,,4,V Kohli,India,West Indies,India,field,Nitin Menon,S George,Barabati Stadium
338,2020,2020-01-14,Australia,normal,,10,DA Warner,India,Australia,Australia,field,C Shamshuddin,MA Gough,Wankhede Stadium
339,2020,2020-01-17,India,normal,36,,KL Rahul,India,Australia,Australia,field,RA Kettleborough,VK Sharma,Saurashtra Cricket Association Stadium
340,2020,2020-01-19,India,normal,,7,RG Sharma,India,Australia,Australia,bat,MA Gough,VK Sharma,M.Chinnaswamy Stadium
341,2020,2020-02-05,New Zealand,normal,,4,LRPL Taylor,New Zealand,India,New Zealand,field,SB Haig,L Rusere,Seddon Park
342,2020,2020-02-08,New Zealand,normal,22,,KA Jamieson,New Zealand,India,India,field,CM Brown,BNJ Oxenford,Eden Park
343,2020,2020-02-11,New Zealand,normal,,5,HM Nicholls,New Zealand,India,New Zealand,field,CM Brown,L Rusere,Bay Oval
344,2020,2020-01-25,South Africa,normal,,7,L Lee,New Zealand,South Africa,South Africa,field,BF Bowden,Kim Cotton,Eden Park Outer Oval
345,2020,2020-01-27,South Africa,normal,,8,M Kapp,New Zealand,South Africa,New Zealand,bat,BF Bowden,A Mehrotra,Eden Park Outer Oval
346,2020,2020-01-30,South Africa,normal,,6,S Luus,New Zealand,South Africa,South Africa,field,JM Dempsey,Kim Cotton,Seddon Park
347,2019,2019-06-19,Netherlands,normal,,7,NA,Netherlands,Zimbabwe,Zimbabwe,bat,AT Holdstock,HKG Jansen,Sportpark Het Schootsveld
348,2019,2019-06-21,Netherlands,normal,,3,NA,Netherlands,Zimbabwe,Zimbabwe,bat,AT Holdstock,WPM van Liemt,Sportpark Het Schootsveld
