id,year,date,winner,result,win_by_runs,win_by_wickets,player_of_match,team1,team2,toss_winner,toss_decision,umpire1,umpire2,venue
1419,2013,2013-08-27,NA,no result,,,NA,Canada,Netherlands,Canada,field,GO Brathwaite,PJ Nero,Maple Leaf North-West Ground
1420,2013,2013-08-29,Netherlands,normal,,9,T van der Gugten,Canada,Netherlands,Netherlands,field,GO Brathwaite,PJ Nero,Maple Leaf North-West Ground
1421,2013,2013-09-06,Ireland,normal,,1,NA,Ireland,Scotland,Scotland,bat,JD Cloete,RP Smith,"Civil Service Cricket Club, Stormont"
1422,2013,2013-12-26,West Indies,normal,,2,DJG Sammy,New Zealand,West Indies,West Indies,field,GAV Baxter,REJ Martinesz,Eden Park
1423,2014,2014-01-01,New Zealand,normal,159,,CJ Anderson,New Zealand,West Indies,West Indies,field,CB Gaffaney,REJ Martinesz,Queenstown Events Centre
1424,2014,2014-01-04,New Zealand,normal,58,,MJ Guptill,New Zealand,West Indies,New Zealand,bat,BF Bowden,IJ Gould,Saxton Oval
1426,2013,2013-09-20,South Africa,normal,,6,L Lee,South Africa,Bangladesh,South Africa,field,RN Birkenstock,A Paleker,Willowmoore Park
1425,2014,2014-01-08,West Indies,normal,203,,DJ Bravo,New Zealand,West Indies,New Zealand,field,CB Gaffaney,REJ Martinesz,Seddon Park
1427,2013,2013-09-24,South Africa,normal,,8,T Chetty,South Africa,Bangladesh,South Africa,field,RN Birkenstock,BP Jele,SuperSport Park
1428,2014,2014-01-19,England,normal,,7,LS Greenway,Australia,England,Australia,bat,SAJ Craig,GC Joshua,Melbourne Cricket Ground
1429,2014,2014-01-23,Australia,normal,26,,NE Bolton,Australia,England,Australia,bat,AJ Barrow,GJ Davidson,Melbourne Cricket Ground
1431,2014,2014-01-19,New Zealand,normal,24,,CJ Anderson,New Zealand,India,India,field,RJ Tucker,DJ Walker,McLean Park
1430,2014,2014-01-26,Australia,normal,,4,EA Perry,Australia,England,England,bat,AP Ward,AK Wilds,Bellerive Oval
1432,2014,2014-01-22,New Zealand,normal,15,,KS Williamson,New Zealand,India,India,field,CB Gaffaney,RJ Tucker,Seddon Park
1433,2014,2014-01-25,NA,tie,,,RA Jadeja,New Zealand,India,India,field,BF Bowden,RJ Tucker,Eden Park
1434,2014,2014-01-28,New Zealand,normal,,7,LRPL Taylor,New Zealand,India,India,bat,GAV Baxter,RJ Tucker,Seddon Park
1436,2014,2014-08-27,India,normal,133,,SK Raina,England,India,England,field,RK Illingworth,PR Reiffel,Sophia Gardens
1435,2014,2014-01-31,New Zealand,normal,87,,LRPL Taylor,New Zealand,India,India,field,BF Bowden,RJ Tucker,Westpac Stadium
1437,2014,2014-08-30,India,normal,,6,R Ashwin,England,India,India,field,MA Gough,PR Reiffel,Trent Bridge
1439,2014,2014-09-05,England,normal,41,,JE Root,England,India,India,field,RA Kettleborough,PR Reiffel,Headingley
1438,2014,2014-09-02,India,normal,,9,AM Rahane,England,India,India,field,PR Reiffel,RT Robinson,Edgbaston
1440,2014,2014-05-22,England,normal,81,,CJ Jordan,England,Sri Lanka,Sri Lanka,field,RJ Bailey,CB Gaffaney,Kennington Oval
1441,2014,2014-05-25,Sri Lanka,normal,157,,TM Dilshan,England,Sri Lanka,England,field,M Erasmus,RT Robinson,Riverside Ground
1442,2014,2014-05-28,England,normal,,10,CJ Jordan,England,Sri Lanka,England,field,CB Gaffaney,MA Gough,Old Trafford
1444,2014,2014-06-03,Sri Lanka,normal,,6,HDRL Thirimanne,England,Sri Lanka,England,bat,CB Gaffaney,MA Gough,Edgbaston
1443,2014,2014-05-31,Sri Lanka,normal,7,,JC Buttler,England,Sri Lanka,England,field,M Erasmus,IJ Gould,Lord's
1445,2013,2013-10-26,South Africa,normal,67,,M du Preez,South Africa,Sri Lanka,Sri Lanka,field,RN Birkenstock,PJ Vosloo,Senwes Park
1446,2013,2013-10-28,NA,no result,,,NA,South Africa,Sri Lanka,South Africa,field,RN Birkenstock,R Ellis,Senwes Park
1447,2013,2013-10-29,Bangladesh,normal,43,,Rubel Hossain,Bangladesh,New Zealand,New Zealand,field,Enamul Haque,REJ Martinesz,Shere Bangla National Stadium
1448,2013,2013-10-31,Bangladesh,normal,40,,Sohag Gazi,Bangladesh,New Zealand,Bangladesh,bat,REJ Martinesz,Sharfuddoula,Shere Bangla National Stadium
